alpha,adam_dense_test_acc,sam_dense_test_acc,dense_delta,sam_minus_adam_dense,adam_k30_test_acc,sam_k30_test_acc,k30_delta,sam_minus_adam_k30,adam_average_acc,sam_average_acc,average_delta,sam_minus_adam_average
0.0,0.7594,0.7594,0.0000,0.0000,0.7560,0.7561,0.0001,0.0001,0.7556,0.7556,0.0000,0.0000
0.05,0.7594,0.7591,-0.0003,-0.0003,0.7566,0.7572,0.0006,0.0006,0.7560,0.7563,0.0003,0.0003
0.1,0.7589,0.7589,0.0000,0.0000,0.7572,0.7573,0.0001,0.0001,0.7566,0.7566,0.0000,0.0000
0.2,0.7591,0.7591,0.0000,0.0000,0.7570,0.7572,0.0002,0.0002,0.7570,0.7569,-0.0001,-0.0001
0.4,0.7599,0.7596,-0.0003,-0.0003,0.7610,0.7611,0.0001,0.0001,0.7602,0.7603,0.0001,0.0001
0.6,0.7615,0.7611,-0.0004,-0.0004,0.7613,0.7611,-0.0002,-0.0002,0.7613,0.7611,-0.0002,-0.0002
0.8,0.7623,0.7623,0.0000,0.0000,0.7615,0.7611,-0.0004,-0.0004,0.7607,0.7604,-0.0003,-0.0003
1.0,0.7630,0.7627,-0.0003,-0.0003,0.7618,0.7617,-0.0001,-0.0001,0.7613,0.7615,0.0002,0.0002
