alpha,best_mean_iou,best_mean_iou_thr,best_map_0.1,best_map_0.1_thr,best_map_0.3,best_map_0.3_thr,best_map_0.5,best_map_0.5_thr,best_map_0.7,best_map_0.7_thr
0,0.0543496678383942,0.05,0.19443439543620425,0.05,0.02805064700153054,0.05,0.0034228468067343813,0.2,0.0004730763879226381,0.05
0.05,0.05434948865298696,0.05,0.19440656741338527,0.05,0.02805064700153054,0.05,0.003367190761096424,0.1,0.0004730763879226381,0.05
0.1,0.05434149009931206,0.05,0.19446222345902323,0.05,0.02802281897871156,0.05,0.003367190761096424,0.15,0.0004730763879226381,0.05
0.2,0.05434069467288169,0.05,0.19440656741338527,0.05,0.02805064700153054,0.05,0.0033950187839154027,0.2,0.0004730763879226381,0.05
0.4,0.05434167738753567,0.05,0.19440656741338527,0.05,0.02802281897871156,0.05,0.0033950187839154027,0.15,0.0004730763879226381,0.05
0.6,0.05434141924935321,0.05,0.19443439543620425,0.05,0.02805064700153054,0.05,0.003311534715458467,0.15,0.0004730763879226381,0.05
0.8,0.054339740991058996,0.05,0.1944900514818422,0.05,0.02805064700153054,0.05,0.003311534715458467,0.05,0.0004730763879226381,0.05
1.0,0.05433040735838981,0.05,0.1944900514818422,0.05,0.02802281897871156,0.05,0.003311534715458467,0.05,0.0004730763879226381,0.05
