alpha,full_acc,avgacc,acc_at_30,best_mean_iou,best_mean_iou_thr,best_map_0.3,best_map_0.3_thr,best_map_0.5,best_map_0.5_thr
0.0,0.7594,0.7556,0.7561,0.27824405290407217,0.75,0.40854582203094286,0.8,0.1704230499950379,0.8
0.05,0.7591,0.757,0.7582,0.27823843762550166,0.75,0.4024370116111748,0.8,0.16956217344586294,0.85
0.1,0.7587,0.7577,0.7584,0.27872306215832754,0.75,0.401985889170554,0.8,0.16998848988134835,0.8
0.2,0.7587,0.7578,0.7582,0.27918156304509295,0.75,0.4015088732530703,0.8,0.1689088971190033,0.8
0.4,0.7608,0.7595,0.7599,0.281246454259312,0.7,0.3976443795402509,0.8,0.16685920005688212,0.8
0.6,0.7601,0.7597,0.7604,0.28149490973588087,0.7,0.38830390271708976,0.8,0.16557556926408434,0.8
0.8,0.7604,0.7605,0.7613,0.27945514997539705,0.7,0.37900604083708805,0.75,0.16119764154263982,0.8
1.0,0.761,0.7604,0.7617,0.27652133800798445,0.7,0.3738293038081983,0.75,0.15853484310385382,0.8
