class_idx,class_name,rank,concept_idx,concept_name,mean_contribution,num_examples
10,Rusty Blackbird,1,285,small blackbird like bird,5.087626584370931,30
10,Rusty Blackbird,2,9,rusty brown feathers,1.9820829391479493,30
10,Rusty Blackbird,3,589,all black plumage,1.5635147094726562,30
10,Rusty Blackbird,4,343,black legs,0.8739540102581184,30
10,Rusty Blackbird,5,381,yellow or orange beak,0.09725000963856777,30
10,Rusty Blackbird,6,209,long black tail,0.08736242937544982,30
10,Rusty Blackbird,7,449,blue back,0.07888025611367387,30
10,Rusty Blackbird,8,586,long legs,0.04796444463233153,30
10,Rusty Blackbird,9,466,white underwings,0.04376574244039754,30
10,Rusty Blackbird,10,583,blue and white plumage,0.03321751632417242,30
